mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-miR-657,1.0,1.0,1.0,0,1202,0.0,35,26380,0.001326762699014405,0.0
hsa-miR-659-5p,0.5359081965534848,1.0,1.0,2,1202,0.0016638935108153079,39,26380,0.0014783927217589083,1.1254746362899442
hsa-miR-660-3p,0.6493260163930327,1.0,1.0,2,1202,0.0016638935108153079,48,26380,0.0018195602729340408,0.9144481419855797
hsa-miR-660-5p,0.9991544458230683,1.0,1.0,43,1202,0.03577371048252912,1434,26380,0.05435936315390447,0.6580965708013377
hsa-miR-661,0.0890551392900727,1.0,1.0,1,1202,0.0008319467554076539,2,26380,7.581501137225171e-05,10.973377703826955
hsa-miR-663a,1.0,1.0,1.0,0,1202,0.0,12,26380,0.0004548900682335102,0.0
hsa-miR-664a-3p,0.8837325400359511,1.0,1.0,16,1202,0.013311148086522463,454,26380,0.01721000758150114,0.7734539350715034
hsa-miR-664a-5p,0.8052574455493875,1.0,1.0,8,1202,0.0066555740432612314,224,26380,0.00849128127369219,0.7838126931304968
hsa-miR-664b-3p,0.3987162412184183,1.0,1.0,43,1202,0.03577371048252912,901,26380,0.03415466262319939,1.047403421230986
hsa-miR-664b-5p,0.9344055623896571,1.0,1.0,2,1202,0.0016638935108153079,95,26380,0.003601213040181956,0.4620369559506086
hsa-miR-665,0.4994117281350801,1.0,1.0,6,1202,0.004991680532445923,124,26380,0.0047005307050796055,1.0619397777897053
hsa-miR-668-3p,0.4168878242300305,1.0,1.0,4,1202,0.0033277870216306157,72,26380,0.0027293404094010615,1.219264189314106
hsa-miR-670-3p,0.19080349167079624,1.0,1.0,14,1202,0.011647254575707155,236,26380,0.0089461713419257,1.3019261682506558
hsa-miR-670-5p,0.9887263316922762,1.0,1.0,1,1202,0.0008319467554076539,96,26380,0.0036391205458680817,0.22861203549639492
hsa-miR-671-3p,0.999976125095198,1.0,1.0,20,1202,0.016638935108153077,934,26380,0.035405610310841544,0.4699519359240666
hsa-miR-671-5p,0.9953849941349379,1.0,1.0,121,1202,0.10066555740432612,3267,26380,0.12384382107657316,0.8128427928760708
hsa-miR-6720-5p,1.0,1.0,1.0,0,1202,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-6721-5p,0.8989586176291088,1.0,1.0,7,1202,0.005823627287853577,228,26380,0.008642911296436694,0.6738038940946376
hsa-miR-6724-5p,1.0,1.0,1.0,0,1202,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-6726-3p,1.0,1.0,1.0,0,1202,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-6727-3p,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-6727-5p,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-6728-3p,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-6729-3p,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-6734-5p,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-6735-5p,0.32302861043982484,1.0,1.0,4,1202,0.0033277870216306157,63,26380,0.0023881728582259287,1.39344478778755
hsa-miR-6741-3p,0.0883133503959747,1.0,1.0,7,1202,0.005823627287853577,84,26380,0.003184230477634572,1.828896283971159
hsa-miR-6744-5p,0.31142778660867915,1.0,1.0,1,1202,0.0008319467554076539,8,26380,0.00030326004548900684,2.7433444259567388
hsa-miR-6747-3p,0.17403057756342255,1.0,1.0,5,1202,0.004159733777038269,65,26380,0.0024639878695981803,1.6882119544349161
hsa-miR-6748-3p,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-675-3p,0.6703077178174734,1.0,1.0,3,1202,0.0024958402662229617,75,26380,0.002843062926459439,0.8778702163061564
hsa-miR-675-5p,0.5428335454596358,1.0,1.0,7,1202,0.005823627287853577,152,26380,0.005761940864291129,1.0107058411419565
hsa-miR-6750-5p,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-6751-5p,0.4474092164386711,1.0,1.0,2,1202,0.0016638935108153079,33,26380,0.0012509476876421532,1.3301063883426612
hsa-miR-6757-3p,0.9392326802935218,1.0,1.0,2,1202,0.0016638935108153079,97,26380,0.0036770280515542077,0.4525104207763693
hsa-miR-676-3p,1.0,1.0,1.0,0,1202,0.0,20,26380,0.000758150113722517,0.0
hsa-miR-6761-5p,0.8025724300691293,1.0,1.0,7,1202,0.005823627287853577,198,26380,0.0075056861258529185,0.7758953931998858
hsa-miR-6763-5p,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-6764-5p,0.48441795219662986,1.0,1.0,17,1202,0.014143094841930116,362,26380,0.013722517058377558,1.0306487346135815
hsa-miR-6765-3p,1.0,1.0,1.0,0,1202,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-6765-5p,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-6766-3p,0.5829629703318912,1.0,1.0,6,1202,0.004991680532445923,135,26380,0.00511751326762699,0.975411351451285
hsa-miR-6769b-3p,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-6770-5p,0.9135397770092251,1.0,1.0,26,1202,0.021630615640599003,722,26380,0.027369219105382866,0.7903263720207779
